name,category,designer,description,link
Wine bottle holder,bag,tytka,wine bottle carrier,https://www.etsy.com/listing/1294575912/wine-holder-tote-wine-bag-pdf-sewing?ref=yr_purchases
Clasp shoulder bag,bag,tytka,small shoulder bag,https://www.etsy.com/listing/1474053046/the-small-padlock-bag-canvas-tote-bag?ref=yr_purchases
Laptop bag,bag,tytka,laptop hand bag,https://www.etsy.com/listing/1729672223/double-sided-tote-bag-one-size-medium?ref=yr_purchases
Noodle Bag,bag,tytka,noodle bag,https://www.etsy.com/listing/1431177652/noodle-bag-quilted-tote-sewing-pattern?ref=shop_home_feat_2&bes=1&logging_key=5bfa98e1d64a801366c0079da7f673b5e6fa2b76%3A1431177652
Gabrielle,bag,missFrecklesDesign,first purse i ever made,https://www.etsy.com/listing/1045208074/gabrielle-shoulder-bag-shoulder-bag?ref=shop_home_active_3&crt=1&sts=1&logging_key=fc575aad1efe88ee9ea0996f198d750e3e32f545%3A1045208074
Valerie,dress,SewingwithSolana,,https://sewingwithsolana.com/products/valerie-dress
Gemma,dress,LizzieDesigns,corset dress,https://www.etsy.com/listing/1762370215/drop-waist-corset-style-dress-pdf?ref=yr_purchases
Atlas,top,StitchWitchPatterns,,https://www.stitchwitchpatterns.com/patterns-1/the-atlas-top
Joy,skirt,LizzieDesigns,,https://www.etsy.com/listing/1723068502/mini-skirt-pdf-digital-sewing-pattern-eu?ref=yr_purchases
Dog hoodie,other,AlphaPatterns,,https://www.etsy.com/listing/1584533129/dog-sweater-sewing-pattern-raglan-hoodie?ref=yr_purchases
Bella,top,LizzieDesigns,,https://www.etsy.com/listing/1796044564/asymmetric-off-shoulder-dress-or-top-pdf?ref=yr_purchases
Audrey Corset,top,IsaInStitches,,
